2026-02-20 10:35:27,965 | INFO | Episode 10/5000 | Avg Reward: 14.50 | Avg Length: 288.00 | Avg Loss: 6.2484 | Avg Found Sources: 0.60
2026-02-20 10:42:41,606 | INFO | Episode 580/5000 | Avg Reward: 29.28 | Avg Length: 204.00 | Avg Loss: 1.3044 | Avg Found Sources: 0.00
2026-02-20 10:42:48,021 | INFO | Episode 590/5000 | Avg Reward: 25.93 | Avg Length: 209.60 | Avg Loss: 1.8911 | Avg Found Sources: 0.10
2026-02-20 10:42:56,479 | INFO | Episode 600/5000 | Avg Reward: -12.23 | Avg Length: 277.80 | Avg Loss: 8.2939 | Avg Found Sources: 0.50
2026-02-20 10:43:02,938 | INFO | Episode 610/5000 | Avg Reward: 19.77 | Avg Length: 205.90 | Avg Loss: 0.9251 | Avg Found Sources: 0.00
2026-02-20 10:43:09,171 | INFO | Episode 620/5000 | Avg Reward: 26.54 | Avg Length: 203.10 | Avg Loss: 0.6894 | Avg Found Sources: 0.00
2026-02-20 10:43:15,560 | INFO | Episode 630/5000 | Avg Reward: 23.13 | Avg Length: 204.40 | Avg Loss: 0.6530 | Avg Found Sources: 0.10
2026-02-20 10:43:21,927 | INFO | Episode 640/5000 | Avg Reward: 27.45 | Avg Length: 205.20 | Avg Loss: 0.8790 | Avg Found Sources: 0.30
2026-02-20 10:43:28,405 | INFO | Episode 650/5000 | Avg Reward: 28.29 | Avg Length: 206.30 | Avg Loss: 1.0054 | Avg Found Sources: 0.20
2026-02-20 10:43:34,928 | INFO | Episode 660/5000 | Avg Reward: 26.83 | Avg Length: 204.50 | Avg Loss: 0.8257 | Avg Found Sources: 0.10
2026-02-20 10:43:42,021 | INFO | Episode 670/5000 | Avg Reward: 19.04 | Avg Length: 206.80 | Avg Loss: 1.2816 | Avg Found Sources: 0.00
2026-02-20 10:43:51,634 | INFO | Episode 680/5000 | Avg Reward: -8.24 | Avg Length: 281.80 | Avg Loss: 9.4697 | Avg Found Sources: 0.20
2026-02-20 10:43:58,413 | INFO | Episode 690/5000 | Avg Reward: 26.21 | Avg Length: 202.00 | Avg Loss: 0.7548 | Avg Found Sources: 0.30
2026-02-20 10:44:07,218 | INFO | Episode 700/5000 | Avg Reward: -14.20 | Avg Length: 284.20 | Avg Loss: 11.6510 | Avg Found Sources: 0.10
2026-02-20 10:44:13,817 | INFO | Episode 710/5000 | Avg Reward: 31.37 | Avg Length: 206.10 | Avg Loss: 3.2496 | Avg Found Sources: 0.20
2026-02-20 10:44:20,414 | INFO | Episode 720/5000 | Avg Reward: 25.25 | Avg Length: 207.10 | Avg Loss: 1.6430 | Avg Found Sources: 0.30
2026-02-20 10:44:26,885 | INFO | Episode 730/5000 | Avg Reward: 28.78 | Avg Length: 204.50 | Avg Loss: 0.8647 | Avg Found Sources: 0.10
2026-02-20 10:44:33,746 | INFO | Episode 740/5000 | Avg Reward: 29.29 | Avg Length: 207.40 | Avg Loss: 2.2865 | Avg Found Sources: 0.00
2026-02-20 10:44:40,720 | INFO | Episode 750/5000 | Avg Reward: 29.48 | Avg Length: 203.50 | Avg Loss: 0.7861 | Avg Found Sources: 0.00
2026-02-20 10:44:47,432 | INFO | Episode 760/5000 | Avg Reward: 27.78 | Avg Length: 204.70 | Avg Loss: 1.1590 | Avg Found Sources: 0.30
2026-02-20 10:44:57,062 | INFO | Episode 770/5000 | Avg Reward: -22.70 | Avg Length: 281.90 | Avg Loss: 7.7578 | Avg Found Sources: 0.10
2026-02-20 10:45:03,983 | INFO | Episode 780/5000 | Avg Reward: 23.90 | Avg Length: 205.80 | Avg Loss: 1.0359 | Avg Found Sources: 0.10
2026-02-20 10:45:15,143 | INFO | Episode 790/5000 | Avg Reward: -51.22 | Avg Length: 355.00 | Avg Loss: 12.7414 | Avg Found Sources: 0.10
2026-02-20 10:45:21,659 | INFO | Episode 800/5000 | Avg Reward: 35.68 | Avg Length: 203.90 | Avg Loss: 2.1533 | Avg Found Sources: 0.40
2026-02-20 10:45:28,279 | INFO | Episode 810/5000 | Avg Reward: 28.14 | Avg Length: 204.20 | Avg Loss: 1.3944 | Avg Found Sources: 0.40
2026-02-20 10:45:39,635 | INFO | Episode 820/5000 | Avg Reward: -51.36 | Avg Length: 360.60 | Avg Loss: 10.2729 | Avg Found Sources: 0.00
2026-02-20 10:45:48,590 | INFO | Episode 830/5000 | Avg Reward: 0.79 | Avg Length: 278.00 | Avg Loss: 4.8478 | Avg Found Sources: 0.10
2026-02-20 10:45:57,445 | INFO | Episode 840/5000 | Avg Reward: 7.14 | Avg Length: 284.20 | Avg Loss: 2.5101 | Avg Found Sources: 0.00
2026-02-20 10:46:04,048 | INFO | Episode 850/5000 | Avg Reward: 32.27 | Avg Length: 203.30 | Avg Loss: 1.6782 | Avg Found Sources: 0.00
2026-02-20 10:46:10,755 | INFO | Episode 860/5000 | Avg Reward: 25.77 | Avg Length: 204.90 | Avg Loss: 0.6471 | Avg Found Sources: 0.10
2026-02-20 10:46:19,876 | INFO | Episode 870/5000 | Avg Reward: -9.38 | Avg Length: 282.10 | Avg Loss: 6.7847 | Avg Found Sources: 0.00
2026-02-20 10:46:26,481 | INFO | Episode 880/5000 | Avg Reward: 30.64 | Avg Length: 206.90 | Avg Loss: 1.0191 | Avg Found Sources: 0.00
2026-02-20 10:46:33,151 | INFO | Episode 890/5000 | Avg Reward: 31.15 | Avg Length: 205.20 | Avg Loss: 1.5636 | Avg Found Sources: 0.30
2026-02-20 10:46:39,964 | INFO | Episode 900/5000 | Avg Reward: 33.92 | Avg Length: 204.50 | Avg Loss: 1.7795 | Avg Found Sources: 0.10
2026-02-20 10:46:50,967 | INFO | Episode 910/5000 | Avg Reward: -61.74 | Avg Length: 354.50 | Avg Loss: 13.2644 | Avg Found Sources: 0.20
2026-02-20 10:47:00,361 | INFO | Episode 920/5000 | Avg Reward: -19.96 | Avg Length: 283.70 | Avg Loss: 7.9058 | Avg Found Sources: 0.30
2026-02-20 10:47:07,104 | INFO | Episode 930/5000 | Avg Reward: 22.82 | Avg Length: 205.00 | Avg Loss: 1.0113 | Avg Found Sources: 0.00
2026-02-20 10:47:13,553 | INFO | Episode 940/5000 | Avg Reward: 35.84 | Avg Length: 203.40 | Avg Loss: 1.9481 | Avg Found Sources: 0.20
2026-02-20 10:47:20,172 | INFO | Episode 950/5000 | Avg Reward: 24.72 | Avg Length: 207.10 | Avg Loss: 1.1030 | Avg Found Sources: 0.40
2026-02-20 10:47:26,776 | INFO | Episode 960/5000 | Avg Reward: 29.45 | Avg Length: 204.00 | Avg Loss: 1.0675 | Avg Found Sources: 0.20
2026-02-20 10:47:35,734 | INFO | Episode 970/5000 | Avg Reward: 5.17 | Avg Length: 285.70 | Avg Loss: 2.7991 | Avg Found Sources: 0.00
2026-02-20 10:47:42,295 | INFO | Episode 980/5000 | Avg Reward: 26.21 | Avg Length: 205.80 | Avg Loss: 1.2411 | Avg Found Sources: 0.00
2026-02-20 10:47:51,506 | INFO | Episode 990/5000 | Avg Reward: -18.39 | Avg Length: 283.90 | Avg Loss: 8.8878 | Avg Found Sources: 0.10
2026-02-20 10:49:00,142 | INFO | Episode 10/5000 | Avg Reward: 14.50 | Avg Length: 288.00 | Avg Loss: 6.2484 | Avg Found Sources: 0.60
2026-02-20 10:49:07,858 | INFO | Episode 20/5000 | Avg Reward: 17.84 | Avg Length: 238.00 | Avg Loss: 2.9335 | Avg Found Sources: 0.70
2026-02-20 10:49:17,472 | INFO | Episode 30/5000 | Avg Reward: -33.21 | Avg Length: 304.50 | Avg Loss: 8.8972 | Avg Found Sources: 0.20
2026-02-20 10:49:24,045 | INFO | Episode 40/5000 | Avg Reward: 25.71 | Avg Length: 204.10 | Avg Loss: 0.8734 | Avg Found Sources: 0.20
2026-02-20 10:49:30,925 | INFO | Episode 50/5000 | Avg Reward: 27.62 | Avg Length: 204.50 | Avg Loss: 1.6359 | Avg Found Sources: 0.20
2026-02-20 10:49:40,488 | INFO | Episode 60/5000 | Avg Reward: -18.12 | Avg Length: 287.20 | Avg Loss: 9.1051 | Avg Found Sources: 0.30
2026-02-20 10:49:47,840 | INFO | Episode 70/5000 | Avg Reward: 26.20 | Avg Length: 202.80 | Avg Loss: 0.7960 | Avg Found Sources: 0.10
2026-02-20 10:58:30,006 | INFO | Episode 10/5000 | Avg Reward: 14.50 | Avg Length: 288.00 | Avg Loss: 6.2484 | Avg Found Sources: 0.60
2026-02-20 10:58:37,540 | INFO | Episode 20/5000 | Avg Reward: 17.84 | Avg Length: 238.00 | Avg Loss: 2.9335 | Avg Found Sources: 0.70
2026-02-20 10:58:47,083 | INFO | Episode 30/5000 | Avg Reward: -33.21 | Avg Length: 304.50 | Avg Loss: 8.8972 | Avg Found Sources: 0.20
2026-02-20 10:58:53,623 | INFO | Episode 40/5000 | Avg Reward: 25.71 | Avg Length: 204.10 | Avg Loss: 0.8734 | Avg Found Sources: 0.20
2026-02-20 10:59:00,305 | INFO | Episode 50/5000 | Avg Reward: 27.62 | Avg Length: 204.50 | Avg Loss: 1.6359 | Avg Found Sources: 0.20
2026-02-20 10:59:09,757 | INFO | Episode 60/5000 | Avg Reward: -18.12 | Avg Length: 287.20 | Avg Loss: 9.1051 | Avg Found Sources: 0.30
2026-02-20 10:59:16,319 | INFO | Episode 70/5000 | Avg Reward: 26.20 | Avg Length: 202.80 | Avg Loss: 0.7960 | Avg Found Sources: 0.10
2026-02-20 10:59:23,754 | INFO | Episode 80/5000 | Avg Reward: 30.66 | Avg Length: 205.40 | Avg Loss: 2.0748 | Avg Found Sources: 0.20
2026-02-20 10:59:30,989 | INFO | Episode 90/5000 | Avg Reward: 25.48 | Avg Length: 207.10 | Avg Loss: 1.2576 | Avg Found Sources: 0.20
2026-02-20 10:59:40,964 | INFO | Episode 100/5000 | Avg Reward: -1.62 | Avg Length: 280.00 | Avg Loss: 6.8327 | Avg Found Sources: 0.20
2026-02-20 10:59:47,939 | INFO | Episode 110/5000 | Avg Reward: 26.14 | Avg Length: 204.10 | Avg Loss: 0.5793 | Avg Found Sources: 0.00
2026-02-20 10:59:57,265 | INFO | Episode 120/5000 | Avg Reward: -12.11 | Avg Length: 277.10 | Avg Loss: 6.4780 | Avg Found Sources: 0.20
2026-02-20 11:00:04,158 | INFO | Episode 130/5000 | Avg Reward: 24.61 | Avg Length: 204.20 | Avg Loss: 0.7741 | Avg Found Sources: 0.00
2026-02-20 11:00:11,360 | INFO | Episode 140/5000 | Avg Reward: 26.78 | Avg Length: 207.10 | Avg Loss: 1.2759 | Avg Found Sources: 0.20
2026-02-20 11:00:20,762 | INFO | Episode 150/5000 | Avg Reward: -9.26 | Avg Length: 278.80 | Avg Loss: 9.6221 | Avg Found Sources: 0.00
2026-02-20 11:00:28,375 | INFO | Episode 160/5000 | Avg Reward: 37.72 | Avg Length: 209.10 | Avg Loss: 2.4743 | Avg Found Sources: 0.20
2026-02-20 11:00:37,637 | INFO | Episode 170/5000 | Avg Reward: -10.79 | Avg Length: 284.50 | Avg Loss: 7.9106 | Avg Found Sources: 0.30
2026-02-20 11:00:46,565 | INFO | Episode 180/5000 | Avg Reward: -21.66 | Avg Length: 281.40 | Avg Loss: 8.2303 | Avg Found Sources: 0.20
2026-02-20 11:00:53,221 | INFO | Episode 190/5000 | Avg Reward: 37.85 | Avg Length: 205.60 | Avg Loss: 3.5594 | Avg Found Sources: 0.10
2026-02-20 11:01:00,090 | INFO | Episode 200/5000 | Avg Reward: 31.16 | Avg Length: 205.90 | Avg Loss: 1.5262 | Avg Found Sources: 0.20
2026-02-20 11:01:10,292 | INFO | Episode 210/5000 | Avg Reward: -65.48 | Avg Length: 280.80 | Avg Loss: 17.5494 | Avg Found Sources: 0.10
2026-02-20 11:01:17,582 | INFO | Episode 220/5000 | Avg Reward: 31.99 | Avg Length: 203.00 | Avg Loss: 3.0380 | Avg Found Sources: 0.30
2026-02-20 11:01:24,351 | INFO | Episode 230/5000 | Avg Reward: 31.93 | Avg Length: 202.70 | Avg Loss: 1.0153 | Avg Found Sources: 0.10
2026-02-20 11:01:33,261 | INFO | Episode 240/5000 | Avg Reward: -16.89 | Avg Length: 279.60 | Avg Loss: 7.9326 | Avg Found Sources: 0.10
2026-02-20 11:01:42,550 | INFO | Episode 250/5000 | Avg Reward: 7.09 | Avg Length: 280.20 | Avg Loss: 3.9917 | Avg Found Sources: 0.30
2026-02-20 11:01:49,844 | INFO | Episode 260/5000 | Avg Reward: 32.75 | Avg Length: 204.00 | Avg Loss: 1.0964 | Avg Found Sources: 0.20
2026-02-20 11:01:56,682 | INFO | Episode 270/5000 | Avg Reward: 26.41 | Avg Length: 202.70 | Avg Loss: 0.4333 | Avg Found Sources: 0.20
2026-02-20 11:02:03,456 | INFO | Episode 280/5000 | Avg Reward: 28.39 | Avg Length: 204.80 | Avg Loss: 1.9090 | Avg Found Sources: 0.00
2026-02-20 11:02:14,882 | INFO | Episode 290/5000 | Avg Reward: -99.10 | Avg Length: 355.20 | Avg Loss: 20.5867 | Avg Found Sources: 0.20
2026-02-20 11:02:21,828 | INFO | Episode 300/5000 | Avg Reward: 34.90 | Avg Length: 209.40 | Avg Loss: 3.0007 | Avg Found Sources: 0.20
2026-02-20 11:02:31,305 | INFO | Episode 310/5000 | Avg Reward: -0.78 | Avg Length: 273.20 | Avg Loss: 7.3910 | Avg Found Sources: 0.20
2026-02-20 11:02:38,030 | INFO | Episode 320/5000 | Avg Reward: 24.56 | Avg Length: 206.40 | Avg Loss: 1.1418 | Avg Found Sources: 0.20
2026-02-20 11:02:44,751 | INFO | Episode 330/5000 | Avg Reward: 36.80 | Avg Length: 203.50 | Avg Loss: 1.7609 | Avg Found Sources: 0.40
2026-02-20 11:02:56,082 | INFO | Episode 340/5000 | Avg Reward: -96.72 | Avg Length: 353.70 | Avg Loss: 26.9417 | Avg Found Sources: 0.10
2026-02-20 11:03:03,037 | INFO | Episode 350/5000 | Avg Reward: 26.87 | Avg Length: 206.00 | Avg Loss: 1.6285 | Avg Found Sources: 0.00
2026-02-20 11:03:15,266 | INFO | Episode 360/5000 | Avg Reward: -64.35 | Avg Length: 355.10 | Avg Loss: 14.8800 | Avg Found Sources: 0.10
2026-02-20 11:03:31,043 | INFO | Episode 370/5000 | Avg Reward: -17.22 | Avg Length: 282.80 | Avg Loss: 8.5314 | Avg Found Sources: 0.20
2026-02-20 11:03:41,592 | INFO | Episode 380/5000 | Avg Reward: 22.62 | Avg Length: 206.10 | Avg Loss: 1.1791 | Avg Found Sources: 0.00
2026-02-20 11:03:56,834 | INFO | Episode 390/5000 | Avg Reward: -60.67 | Avg Length: 354.90 | Avg Loss: 15.8035 | Avg Found Sources: 0.30
2026-02-20 11:04:08,117 | INFO | Episode 400/5000 | Avg Reward: -20.48 | Avg Length: 286.10 | Avg Loss: 8.1194 | Avg Found Sources: 0.10
2026-02-20 11:04:15,090 | INFO | Episode 410/5000 | Avg Reward: 41.64 | Avg Length: 204.30 | Avg Loss: 2.6286 | Avg Found Sources: 0.40
2026-02-20 11:04:23,369 | INFO | Episode 420/5000 | Avg Reward: 28.31 | Avg Length: 205.00 | Avg Loss: 0.8998 | Avg Found Sources: 0.20
2026-02-20 11:04:32,865 | INFO | Episode 430/5000 | Avg Reward: 26.48 | Avg Length: 204.90 | Avg Loss: 1.0677 | Avg Found Sources: 0.20
2026-02-20 11:04:43,698 | INFO | Episode 440/5000 | Avg Reward: -8.27 | Avg Length: 284.30 | Avg Loss: 8.0381 | Avg Found Sources: 0.10
2026-02-20 11:04:53,284 | INFO | Episode 450/5000 | Avg Reward: -16.29 | Avg Length: 280.30 | Avg Loss: 8.2312 | Avg Found Sources: 0.10
2026-02-20 11:05:00,400 | INFO | Episode 460/5000 | Avg Reward: 28.83 | Avg Length: 206.60 | Avg Loss: 0.8785 | Avg Found Sources: 0.20
2026-02-20 11:05:07,316 | INFO | Episode 470/5000 | Avg Reward: 24.90 | Avg Length: 205.00 | Avg Loss: 0.8244 | Avg Found Sources: 0.10
2026-02-20 11:05:14,335 | INFO | Episode 480/5000 | Avg Reward: 37.94 | Avg Length: 204.00 | Avg Loss: 2.2741 | Avg Found Sources: 0.10
2026-02-20 11:05:21,194 | INFO | Episode 490/5000 | Avg Reward: 32.09 | Avg Length: 204.70 | Avg Loss: 1.1141 | Avg Found Sources: 0.20
2026-02-20 11:05:28,154 | INFO | Episode 500/5000 | Avg Reward: 28.31 | Avg Length: 204.50 | Avg Loss: 0.9961 | Avg Found Sources: 0.10
2026-02-20 11:05:37,524 | INFO | Episode 510/5000 | Avg Reward: -5.11 | Avg Length: 283.90 | Avg Loss: 7.4532 | Avg Found Sources: 0.10
2026-02-20 11:05:49,243 | INFO | Episode 520/5000 | Avg Reward: -66.89 | Avg Length: 352.00 | Avg Loss: 15.1338 | Avg Found Sources: 0.50
2026-02-20 11:05:56,252 | INFO | Episode 530/5000 | Avg Reward: 34.22 | Avg Length: 204.70 | Avg Loss: 3.2477 | Avg Found Sources: 0.20
2026-02-20 11:06:06,103 | INFO | Episode 540/5000 | Avg Reward: 0.86 | Avg Length: 283.00 | Avg Loss: 3.1639 | Avg Found Sources: 0.10
2026-02-20 11:06:17,807 | INFO | Episode 550/5000 | Avg Reward: -53.46 | Avg Length: 358.40 | Avg Loss: 14.2804 | Avg Found Sources: 0.10
2026-02-20 11:06:24,595 | INFO | Episode 560/5000 | Avg Reward: 31.75 | Avg Length: 204.20 | Avg Loss: 1.1833 | Avg Found Sources: 0.50
2026-02-20 11:06:33,897 | INFO | Episode 570/5000 | Avg Reward: -11.33 | Avg Length: 278.90 | Avg Loss: 8.4940 | Avg Found Sources: 0.20
2026-02-20 11:06:40,725 | INFO | Episode 580/5000 | Avg Reward: 29.28 | Avg Length: 204.00 | Avg Loss: 1.3044 | Avg Found Sources: 0.00
2026-02-20 11:06:47,762 | INFO | Episode 590/5000 | Avg Reward: 25.93 | Avg Length: 209.60 | Avg Loss: 1.8911 | Avg Found Sources: 0.10
2026-02-20 11:06:56,942 | INFO | Episode 600/5000 | Avg Reward: -12.23 | Avg Length: 277.80 | Avg Loss: 8.2939 | Avg Found Sources: 0.50
2026-02-20 11:07:04,910 | INFO | Episode 610/5000 | Avg Reward: 19.77 | Avg Length: 205.90 | Avg Loss: 0.9251 | Avg Found Sources: 0.00
